,brand_name,brand_link,#_of_images
581,MSME,https://www.advertgallery.com/product-category/advertisements-by-brand/msme-advertisements/,69
582,NIRMA UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/nirma-university/,5
583,NSDC,https://www.advertgallery.com/product-category/advertisements-by-brand/national-skill-development-corporation/,1
584,ONIDA,https://www.advertgallery.com/product-category/advertisements-by-brand/onida-advertisements/,7
585,ORIENT ELECTRIC,https://www.advertgallery.com/product-category/advertisements-by-brand/orient-electric/,9
586,RADHA RAMAN GROUP OF INSTITUTES,https://www.advertgallery.com/product-category/advertisements-by-brand/radha-raman-group-of-institutes/,1
587,ROOP MANTRA,https://www.advertgallery.com/product-category/advertisements-by-brand/roop-mantra/,11
588,SUZUKI,https://www.advertgallery.com/product-category/advertisements-by-brand/suzuki/,28
589,TATA MOTORS,https://www.advertgallery.com/product-category/advertisements-by-brand/tata-motors/,136
590,TIME,https://www.advertgallery.com/product-category/advertisements-by-brand/time-institute-advertisement/,116
591,Y AXIS,https://www.advertgallery.com/product-category/advertisements-by-brand/y-axis-advertisements/,15
